time,refactFileRBR
201401,104
201402,54
201403,23
201404,3
201405,1
201406,1
201407,3
201408,4
201409,2
201410,19
201411,7
201412,23
201501,12
201502,3
201503,9
201504,12
201505,1
201506,4
201507,21
201508,3
201509,5
201510,0
201511,16
201512,3
201601,6
201602,2
201603,2
201604,2
201605,4
201606,3
201607,2
201608,2
201609,11
201610,6
201611,2
201612,15
201701,1
201702,6
201703,5
201704,0
201705,4
201706,8
201707,4
201708,12
201709,9
201710,0
201711,24
201712,0
201801,0
201802,2
201803,7
201804,8
201805,8
201806,1
201807,2
201808,4
201809,6
201810,8
201811,0
201812,0
201901,6
201902,2
201903,4
201904,0
201905,2
201906,28
201907,2
201908,1
201909,4
201910,9
201911,0
201912,5
202001,0
202002,3
202003,1
202004,3
202005,1
202006,1
202007,5
202008,2
202009,5
202010,1
202011,3
202012,25
202101,7
202102,1
202103,2
202104,15
202105,31
202106,1
202107,7
202108,3
202109,187
202110,2
202111,7
202112,2
202201,3
202202,8
202203,2
202204,1
202205,6
202206,1
202207,1
202208,5
202209,29
202210,0
202211,3
202212,6
202301,1
202302,10
202303,10
202304,15
202305,3
202306,3
202307,6
202308,3
202309,8
202310,2
202311,35
202312,101
202401,2
202402,52
202403,16
