time,FileRBR
200409,6
200410,16
200411,111
200412,150
200501,169
200502,190
200503,176
200504,47
200505,35
200506,165
200507,59
200508,102
200509,20
200510,40
200511,42
200512,111
200601,137
200602,271
200603,124
200604,133
200605,684
200606,389
200607,258
200608,151
200609,196
200610,2007
200611,114
200612,428
200701,210
200702,186
200703,6868
200704,2092
200705,64
200706,158
200707,77
200708,52
200709,36
200710,268
200711,38
200712,61
200801,10
200802,8
200803,18
200804,1042
200805,56
200806,106
200807,12
200808,1
200809,77
200810,12
200811,4
200812,9
200901,7
200902,2
200903,13
200904,129
200905,0
200906,5
200907,1
200908,0
200909,54
200910,124
200911,25
200912,121
201001,169
201002,2730
201003,252
201004,1
201005,3
201006,0
201007,44
201008,104
201009,100
201010,70
201011,201
201012,1437
201101,73
201102,10
201103,16
201104,113
201105,19
201106,56
201107,71
201108,33
201109,20
201110,30
201111,139
201112,102
201201,57
201202,22
201203,123
201204,34
201205,34
201206,49
201207,106
201208,22
201209,7
201210,38
201211,11
201212,23
201301,6
201302,21
201303,5
201304,9
201305,50
201306,79
201307,16
201308,0
201309,12
201310,1
201311,88
201312,11
201401,108
201402,48
201403,42
201404,4
201405,18
201406,4
201407,21
201408,37
201409,13
201410,23
201411,16
201412,1
201501,12
201502,6
201503,17
201504,9
201505,11
201506,47
201507,8
201508,5
201509,0
201510,25
201511,4
201512,13
201601,4
201602,24
201603,129
201604,47
201605,4
201606,166
201607,5
201608,9
201609,1
201610,8
201611,76
201612,8
201701,22
201702,3
201703,35
201704,47
201705,4
201706,8
201707,0
201708,7
201709,4
201710,33
201711,322
201712,1
201801,8
201802,8
201803,0
201804,13
201805,6
201806,0
201807,33
201808,4
201809,658
201810,8
201811,13
201812,18
201901,2
201902,11
201903,38
201904,73
201905,30
201906,10
201907,5
201908,21
201909,6
201910,5
201911,2
201912,19
202001,24
202002,14
202003,65
202004,14
202005,8
202006,2
202007,2
202008,11
202009,12
202010,13
202011,2
202012,4
202103,10
202104,147
202105,12
202106,4
202107,351
202108,12
202109,11
202110,7
202111,25
202112,7
202201,7
202203,0
202204,22
202205,5
202206,4
202208,1
202209,0
202211,5
202301,4
202302,4
202303,5
202304,114
202305,11
202307,16
202308,8
202309,38
202310,2338
202311,5
202312,18
202401,5
202402,2
202403,7
